city_slug,window_months,pre_listing_days,post_listing_days,pre_unique_listings,post_unique_listings,thin_support_flag
austin,1,477958,477958,15418,15418,0
austin,2,955916,955916,15418,15418,0
austin,3,1418456,1418456,15418,15418,0
boston,1,137206,137206,4426,4426,0
boston,2,274412,274412,4426,4426,0
boston,3,407192,407192,4426,4426,0
chicago,1,270971,270971,8741,8741,0
chicago,2,541942,541942,8741,8741,0
chicago,3,804172,804172,8741,8741,0
los-angeles,1,1395248,1395248,45008,45008,0
los-angeles,2,2790496,2790496,45008,45008,0
los-angeles,3,4140736,4140736,45008,45008,0
new-york-city,1,1160268,1160268,37428,37428,0
new-york-city,2,2320536,2320536,37428,37428,0
new-york-city,3,3443376,3443376,37428,37428,0
san-francisco,1,242327,242327,7817,7817,0
san-francisco,2,484654,484654,7817,7817,0
san-francisco,3,719164,719164,7817,7817,0
seattle,1,209622,209622,6762,6762,0
seattle,2,419244,419244,6762,6762,0
seattle,3,622104,622104,6762,6762,0
washington-dc,1,188387,188387,6077,6077,0
washington-dc,2,376774,376774,6077,6077,0
washington-dc,3,559084,559084,6077,6077,0
