city_slug,neighbourhood,penetration_mean,penetration_median,penetration_std,n_obs
austin,78701,0.0,0.0,0.0,2024
austin,78702,0.0,0.0,0.0,3496
austin,78703,0.0,0.0,0.0,1656
austin,78704,0.0,0.0,0.0,3680
austin,78705,0.0,0.0,0.0,1104
austin,78717,0.0,0.0,0.0,184
austin,78721,0.0,0.0,0.0,368
austin,78722,0.0,0.0,0.0,736
austin,78723,0.0,0.0,0.0,920
austin,78724,0.0,0.0,0.0,368
austin,78725,0.0,0.0,0.0,184
austin,78727,0.0,0.0,0.0,736
austin,78731,0.0,0.0,0.0,184
austin,78734,0.0,0.0,0.0,1472
austin,78735,0.0,0.0,0.0,184
austin,78736,0.0,0.0,0.0,184
austin,78737,0.010386414,0.0088495575,0.0070657693,920
austin,78741,0.0,0.0,0.0,1472
austin,78744,0.0,0.0,0.0,920
austin,78745,0.0,0.0,0.0,1840
austin,78746,0.0035622313,0.0,0.0042615654,552
austin,78747,0.0,0.0,0.0,552
austin,78748,0.0,0.0,0.0,736
austin,78749,0.0071988218,0.0,0.009073406,368
austin,78751,0.0,0.0,0.0,552
austin,78752,0.0,0.0,0.0,736
austin,78753,0.0,0.0,0.0,368
austin,78756,0.0,0.0,0.0,736
austin,78757,0.0,0.0,0.0,1288
austin,78758,0.0,0.0,0.0,1104
austin,78759,0.0,0.0,0.0,368
boston,Allston,0.0,0.0,0.0,368
boston,Back Bay,0.0,0.0,0.0,1104
boston,Bay Village,0.0,0.0,0.0,184
boston,Beacon Hill,0.0,0.0,0.0,552
boston,Brighton,0.0,0.0,0.0,920
boston,Dorchester,0.0,0.0,0.0,920
boston,Downtown,0.0,0.0,0.0,552
boston,East Boston,0.0,0.0,0.0,920
boston,Fenway,0.0,0.0,0.0,184
boston,Jamaica Plain,0.0,0.0,0.0,920
boston,Mission Hill,0.0,0.0,0.0,368
boston,North End,0.0,0.0,0.0,368
boston,Roslindale,0.0,0.0,0.0,184
boston,Roxbury,0.0,0.0,0.0,184
boston,South Boston,0.0,0.0,0.0,736
boston,South End,0.0,0.0,0.0,184
boston,West End,0.0,0.0,0.0,368
boston,West Roxbury,0.0,0.0,0.0,184
chicago,Auburn Gresham,0.0,0.0,0.0,184
chicago,Avondale,0.0,0.0,0.0,736
chicago,Belmont Cragin,0.0,0.0,0.0,184
chicago,Bridgeport,0.0,0.0,0.0,184
chicago,Douglas,0.0,0.0,0.0,184
chicago,Edgewater,0.0,0.0,0.0,552
chicago,Grand Boulevard,0.0,0.0,0.0,552
chicago,Irving Park,0.0,0.0,0.0,184
chicago,Jefferson Park,0.0,0.0,0.0,368
chicago,Lake View,0.0,0.0,0.0,184
chicago,Lincoln Park,0.0,0.0,0.0,736
chicago,Lincoln Square,0.0,0.0,0.0,184
chicago,Logan Square,0.0,0.0,0.0,1656
chicago,Loop,0.0,0.0,0.0,920
chicago,Near North Side,0.0,0.0,0.0,2760
chicago,Near South Side,0.0,0.0,0.0,368
chicago,Near West Side,0.0,0.0,0.0,2392
chicago,New City,0.0,0.0,0.0,184
chicago,North Center,0.0,0.0,0.0,368
chicago,North Park,0.0,0.0,0.0,184
chicago,Norwood Park,0.0,0.0,0.0,184
chicago,Portage Park,0.0,0.0,0.0,368
chicago,South Chicago,0.0,0.0,0.0,184
chicago,South Lawndale,0.0,0.0,0.0,368
chicago,South Shore,0.0,0.0,0.0,184
chicago,Uptown,0.0,0.0,0.0,368
chicago,Washington Heights,0.0,0.0,0.0,184
chicago,Washington Park,0.0,0.0,0.0,184
chicago,West Englewood,0.0,0.0,0.0,184
chicago,West Lawn,0.0,0.0,0.0,184
chicago,West Ridge,0.0,0.0,0.0,184
chicago,West Town,0.0,0.0,0.0,1656
los-angeles,Adams-Normandie,0.0,0.0,0.0,184
los-angeles,Alhambra,0.0,0.0,0.0,736
los-angeles,Arcadia,0.0,0.0,0.0,184
los-angeles,Arlington Heights,0.0,0.0,0.0,184
los-angeles,Avalon,0.0,0.0,0.0,552
los-angeles,Avocado Heights,0.0,0.0,0.0,184
los-angeles,Baldwin Park,0.0,0.0,0.0,552
los-angeles,Bel-Air,0.010026194,0.01724138,0.009246208,736
los-angeles,Beverly Crest,0.0024316788,0.0,0.0033431423,736
los-angeles,Beverly Grove,0.0,0.0,0.0,1472
los-angeles,Beverly Hills,0.0,0.0,0.0,1472
los-angeles,Beverlywood,0.0,0.0,0.0,184
los-angeles,Boyle Heights,0.0,0.0,0.0,368
los-angeles,Brentwood,0.0,0.0,0.0,368
los-angeles,Burbank,0.0,0.0,0.0,1656
los-angeles,Canoga Park,0.0,0.0,0.0,184
los-angeles,Carson,0.0,0.0,0.0,368
los-angeles,Carthay,0.0,0.0,0.0,184
los-angeles,Covina,0.0,0.0,0.0,184
los-angeles,Culver City,0.0,0.0,0.0,2024
los-angeles,Del Aire,0.0,0.0,0.0,184
los-angeles,Del Rey,0.0,0.0,0.0,184
los-angeles,Downey,0.0,0.0,0.0,184
los-angeles,Downtown,0.0,0.0,0.0,1288
