term,coef,std_error,t_stat,p_value,ci_low,ci_high,dependent_var,nobs,n_entities,n_dates,rsquared_within,rsquared_overall,estimator,covariance,fallback_used,term_status
dynamic_algo_adopted,-0.0030311575702536057,0.009454911856851168,-0.3205907803420911,0.7485205412251332,-0.02156244960490063,0.01550013446439342,abs_price_change,4236416.0,18721,184,-2.24595044784337e-07,9.405800681983045e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
available,0.002594892752066979,0.006406679038484071,0.4050293040247221,0.6854559914146598,-0.009961971027511332,0.015151756531645291,abs_price_change,4236416.0,18721,184,-2.24595044784337e-07,9.405800681983045e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
minimum_nights,0.00016633007155104798,0.00019318214233526003,0.861001278588104,0.38923738781463735,-0.00021230007854383562,0.0005449602216459316,abs_price_change,4236416.0,18721,184,-2.24595044784337e-07,9.405800681983045e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
maximum_nights,-3.784463965453425e-12,2.6349662365299044e-12,-1.4362476122036925,0.15093196942010811,-8.948904371652244e-12,1.3799764407453938e-12,abs_price_change,4236416.0,18721,184,-2.24595044784337e-07,9.405800681983045e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
price_volatility_7d,-0.01570343391667717,0.020189220866868245,-0.7778127754522451,0.4366794389651858,-0.055273591047737394,0.02386672321438305,abs_price_change,4236416.0,18721,184,-2.24595044784337e-07,9.405800681983045e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
dynamic_algo_adopted,0.00469712233502077,0.00012032347164556134,39.03745687173284,0.0,0.004461292596420853,0.004932952073620688,rolling_7d_variance,4236416.0,18721,184,0.7908178442873163,0.7869035851537882,linearmodels.PanelOLS,clustered_by_listing,False,estimated
available,0.0032176583273835608,7.870036466412293e-05,40.88492272069982,0.0,0.0030634084028041703,0.0033719082519629512,rolling_7d_variance,4236416.0,18721,184,0.7908178442873163,0.7869035851537882,linearmodels.PanelOLS,clustered_by_listing,False,estimated
minimum_nights,6.390591364326209e-07,3.5497601431766617e-06,0.18002882185181396,0.8571299499377147,-6.318344894625672e-06,7.596463167490913e-06,rolling_7d_variance,4236416.0,18721,184,0.7908178442873163,0.7869035851537882,linearmodels.PanelOLS,clustered_by_listing,False,estimated
maximum_nights,-8.719799199581853e-13,1.0350607279408176e-12,-0.8424432464875077,0.3995399423699677,-2.900662250737058e-12,1.1567024108206875e-12,rolling_7d_variance,4236416.0,18721,184,0.7908178442873163,0.7869035851537882,linearmodels.PanelOLS,clustered_by_listing,False,estimated
price_volatility_7d,0.32892165052932726,0.0019212618696655289,171.2008423852127,0.0,0.3251560453792375,0.33268725567941704,rolling_7d_variance,4236416.0,18721,184,0.7908178442873163,0.7869035851537882,linearmodels.PanelOLS,clustered_by_listing,False,estimated
